date-time,par
Mon May 8 20:41:46 2023,0.00003
Mon May 8 21:11:46 2023,0.00003
Mon May 8 21:41:46 2023,0.00003
Mon May 8 22:11:46 2023,0.00003
Mon May 8 22:41:46 2023,0.00003
Mon May 8 23:11:46 2023,0.00003
Mon May 8 23:41:46 2023,0.00003
Tue May 9 00:11:46 2023,0.00003
Tue May 9 00:41:46 2023,0.00003
Tue May 9 01:11:46 2023,0.00003
Tue May 9 01:41:46 2023,0.00003
Tue May 9 02:11:46 2023,0.00003
Tue May 9 02:41:46 2023,0.00003
Tue May 9 03:11:46 2023,0.00003
Tue May 9 03:41:46 2023,0.00003
Tue May 9 04:11:46 2023,0.00003
Tue May 9 04:41:46 2023,0.00003
Tue May 9 05:11:46 2023,0.00003
Tue May 9 05:41:46 2023,0.00003
Tue May 9 06:11:46 2023,0.00003
Tue May 9 06:41:46 2023,1.3193
Tue May 9 07:11:46 2023,6.31589
Tue May 9 07:41:46 2023,13.644
Tue May 9 08:11:46 2023,19.8405
Tue May 9 08:41:46 2023,62.0253
Tue May 9 09:11:46 2023,75.2414
Tue May 9 09:41:46 2023,111.377
Tue May 9 10:11:46 2023,114.189
Tue May 9 10:41:46 2023,105.199
Tue May 9 11:11:46 2023,224.771
Tue May 9 11:41:46 2023,215.754
Tue May 9 12:11:46 2023,329.85
Tue May 9 12:41:46 2023,228.595
Tue May 9 13:11:46 2023,269.708
Tue May 9 13:41:46 2023,255.02
Tue May 9 14:11:46 2023,230.415
Tue May 9 14:41:46 2023,171.677
Tue May 9 15:11:46 2023,208.723
Tue May 9 15:41:46 2023,124.002
Tue May 9 16:11:46 2023,103.763
Tue May 9 16:41:46 2023,143.144
Tue May 9 17:11:46 2023,113.235
Tue May 9 17:41:46 2023,123.605
Tue May 9 18:11:46 2023,60.758
Tue May 9 18:41:46 2023,32.6808
Tue May 9 19:11:46 2023,21.2732
Tue May 9 19:41:46 2023,16.6908
Tue May 9 20:11:46 2023,2.91797
Tue May 9 20:41:46 2023,0.00025
Tue May 9 21:11:46 2023,0.00025
Tue May 9 21:41:46 2023,0.00025
Tue May 9 22:11:46 2023,0.00025
Tue May 9 22:41:46 2023,0.00025
Tue May 9 23:11:46 2023,0.00025
Tue May 9 23:41:46 2023,0.00025
Wed May 10 00:11:46 2023,0.00025
Wed May 10 00:41:46 2023,0.00025
Wed May 10 01:11:46 2023,0.00025
Wed May 10 01:41:46 2023,0.00025
Wed May 10 02:11:46 2023,0.00025
Wed May 10 02:41:46 2023,0.00025
Wed May 10 03:11:46 2023,0.00025
Wed May 10 03:41:46 2023,0.000248333
Wed May 10 04:11:46 2023,0.00025
Wed May 10 04:41:46 2023,0.00025
Wed May 10 05:11:46 2023,0.00025
Wed May 10 05:41:46 2023,0.00025
Wed May 10 06:11:46 2023,0.0631717
Wed May 10 06:41:46 2023,5.73234
Wed May 10 07:11:46 2023,22.3817
Wed May 10 07:41:46 2023,49.3419
Wed May 10 08:11:46 2023,86.96
Wed May 10 08:41:46 2023,127.853
Wed May 10 09:11:46 2023,188.623
Wed May 10 09:41:46 2023,218.781
Wed May 10 10:11:46 2023,180.046
Wed May 10 10:41:46 2023,188.909
Wed May 10 11:11:46 2023,257.351
Wed May 10 11:41:46 2023,359.233
Wed May 10 12:11:46 2023,334.792
Wed May 10 12:41:46 2023,221.724
Wed May 10 13:11:46 2023,285.435
Wed May 10 13:41:46 2023,267.748
Wed May 10 14:11:46 2023,244.371
Wed May 10 14:41:46 2023,278.679
Wed May 10 15:11:46 2023,263.062
Wed May 10 15:41:46 2023,234.625
Wed May 10 16:11:46 2023,204.897
Wed May 10 16:41:46 2023,143.931
Wed May 10 17:11:46 2023,112.302
Wed May 10 17:41:46 2023,86.2079
Wed May 10 18:11:46 2023,76.0579
Wed May 10 18:41:46 2023,61.4139
Wed May 10 19:11:46 2023,52.3782
Wed May 10 19:41:46 2023,11.51
Wed May 10 20:11:46 2023,0.99557
Wed May 10 20:41:46 2023,-0.000728333
Wed May 10 21:11:46 2023,-0.000728333
Wed May 10 21:41:46 2023,-0.000725
Wed May 10 22:11:46 2023,-0.000726667
Wed May 10 22:41:46 2023,-0.00073
Wed May 10 23:11:46 2023,-0.000728333
Wed May 10 23:41:46 2023,-0.000726667
Thu May 11 00:11:46 2023,-0.000726667
Thu May 11 00:41:46 2023,-0.000721667
Thu May 11 01:11:46 2023,-0.000721667
Thu May 11 01:41:46 2023,-0.000725
Thu May 11 02:11:46 2023,-0.000725
Thu May 11 02:41:46 2023,-0.000726667
Thu May 11 03:11:46 2023,-0.000723333
Thu May 11 03:41:46 2023,-0.000731667
Thu May 11 04:11:46 2023,-0.000725
Thu May 11 04:41:46 2023,-0.000726667
Thu May 11 05:11:46 2023,-0.000725
Thu May 11 05:41:46 2023,-0.000726667
Thu May 11 06:11:46 2023,-0.000725
Thu May 11 06:41:46 2023,4.23175
Thu May 11 07:11:46 2023,14.3229
Thu May 11 07:41:46 2023,23.497
Thu May 11 08:11:46 2023,60.9973
Thu May 11 08:41:46 2023,96.8995
Thu May 11 09:11:46 2023,106.412
Thu May 11 09:41:46 2023,189.017
Thu May 11 10:11:46 2023,186.977
Thu May 11 10:41:46 2023,167.024
Thu May 11 11:11:46 2023,127.115
Thu May 11 11:41:46 2023,164.847
Thu May 11 12:11:46 2023,139.999
Thu May 11 12:41:46 2023,68.1993
Thu May 11 13:11:46 2023,66.4558
Thu May 11 13:41:46 2023,103.788
Thu May 11 14:11:46 2023,157.38
Thu May 11 14:41:46 2023,180.223
Thu May 11 15:11:46 2023,280.414
Thu May 11 15:41:46 2023,247.029
Thu May 11 16:11:46 2023,151.334
Thu May 11 16:41:46 2023,139.007
Thu May 11 17:11:46 2023,67.4153
Thu May 11 17:41:46 2023,81.7134
Thu May 11 18:11:46 2023,69.0278
Thu May 11 18:41:46 2023,48.9177
Thu May 11 19:11:46 2023,38.9369
Thu May 11 19:41:46 2023,10.2998
Thu May 11 20:11:46 2023,0.902922
Thu May 11 20:41:46 2023,-0.000831667
Thu May 11 21:11:46 2023,-0.000836667
Thu May 11 21:41:46 2023,-0.000836667
Thu May 11 22:11:46 2023,-0.000841667
Thu May 11 22:41:46 2023,-0.000833333
Thu May 11 23:11:46 2023,-0.00084
Thu May 11 23:41:46 2023,-0.000836667
Fri May 12 00:11:46 2023,-0.000838333
Fri May 12 00:41:46 2023,-0.000833333
Fri May 12 01:11:46 2023,-0.00083
Fri May 12 01:41:46 2023,-0.000833333
Fri May 12 02:11:46 2023,-0.00084
Fri May 12 02:41:46 2023,-0.000838333
Fri May 12 03:11:46 2023,-0.000833333
Fri May 12 03:41:46 2023,-0.000836667
Fri May 12 04:11:46 2023,-0.000845
Fri May 12 04:41:46 2023,-0.00084
Fri May 12 05:11:46 2023,-0.000835
Fri May 12 05:41:46 2023,-0.000835
Fri May 12 06:11:46 2023,0.114492
Fri May 12 06:41:46 2023,6.60981
Fri May 12 07:11:46 2023,27.2763
Fri May 12 07:41:46 2023,35.4387
Fri May 12 08:11:46 2023,51.4604
Fri May 12 08:41:46 2023,47.1025
Fri May 12 09:11:46 2023,33.8401
Fri May 12 09:41:46 2023,45.1912
Fri May 12 10:11:46 2023,98.7991
Fri May 12 10:41:46 2023,61.3012
Fri May 12 11:11:46 2023,21.5581
Fri May 12 11:41:46 2023,49.4856
Fri May 12 12:11:46 2023,83.5901
Fri May 12 12:41:46 2023,179.587
Fri May 12 13:11:46 2023,179.347
Fri May 12 13:41:46 2023,101.819
Fri May 12 14:11:46 2023,95.762
Fri May 12 14:41:46 2023,170.754
Fri May 12 15:11:46 2023,271.205
Fri May 12 15:41:46 2023,197.601
Fri May 12 16:11:46 2023,240.921
Fri May 12 16:41:46 2023,122.343
Fri May 12 17:11:46 2023,63.1323
Fri May 12 17:41:46 2023,35.0886
Fri May 12 18:11:46 2023,48.2872
Fri May 12 18:41:46 2023,25.3028
Fri May 12 19:11:46 2023,9.68193
Fri May 12 19:41:46 2023,2.1694
Fri May 12 20:11:46 2023,0.148858
Fri May 12 20:41:46 2023,-0.001095
Fri May 12 21:11:46 2023,-0.00109667
Fri May 12 21:41:46 2023,-0.00109333
Fri May 12 22:11:46 2023,-0.001095
Fri May 12 22:41:46 2023,-0.00109333
Fri May 12 23:11:46 2023,-0.001095
Fri May 12 23:41:46 2023,-0.00109667
Sat May 13 00:11:46 2023,-0.00109667
Sat May 13 00:41:46 2023,-0.00109167
Sat May 13 01:11:46 2023,-0.001095
Sat May 13 01:41:46 2023,-0.001095
Sat May 13 02:11:46 2023,-0.00109333
Sat May 13 02:41:46 2023,-0.00109333
Sat May 13 03:11:46 2023,-0.00109
Sat May 13 03:41:46 2023,-0.00109
Sat May 13 04:11:46 2023,-0.001095
Sat May 13 04:41:46 2023,-0.0011
Sat May 13 05:11:46 2023,-0.001095
Sat May 13 05:41:46 2023,-0.00109667
Sat May 13 06:11:46 2023,0.00783833
Sat May 13 06:41:46 2023,3.89653
Sat May 13 07:11:46 2023,14.9102
Sat May 13 07:41:46 2023,29.901
Sat May 13 08:11:46 2023,37.2662
Sat May 13 08:41:46 2023,53.7802
Sat May 13 09:11:46 2023,75.1037
Sat May 13 09:41:46 2023,76.9094
Sat May 13 10:11:46 2023,72.4672
Sat May 13 10:41:46 2023,142.22
Sat May 13 11:11:46 2023,195.147
Sat May 13 11:41:46 2023,340.392
Sat May 13 12:11:46 2023,293.096
Sat May 13 12:41:46 2023,231.705
Sat May 13 13:11:46 2023,259.592
Sat May 13 13:41:46 2023,320.553
Sat May 13 14:11:46 2023,243.402
Sat May 13 14:41:46 2023,293.403
Sat May 13 15:11:46 2023,273.717
Sat May 13 15:41:46 2023,244.691
Sat May 13 16:11:46 2023,155.322
Sat May 13 16:41:46 2023,151.151
Sat May 13 17:11:46 2023,120.453
Sat May 13 17:41:46 2023,96.9503
Sat May 13 18:11:46 2023,43.4751
Sat May 13 18:41:46 2023,44.6978
Sat May 13 19:11:46 2023,25.8644
Sat May 13 19:41:46 2023,11.4326
Sat May 13 20:11:46 2023,1.5125
Sat May 13 20:41:46 2023,-0.000981667
Sat May 13 21:11:46 2023,-0.000985
Sat May 13 21:41:46 2023,-0.000985
Sat May 13 22:11:46 2023,-0.000988333
Sat May 13 22:41:46 2023,-0.000983333
Sat May 13 23:11:46 2023,-0.000985
Sat May 13 23:41:46 2023,-0.000981667
Sun May 14 00:11:46 2023,-0.00098
Sun May 14 00:41:46 2023,-0.00098
Sun May 14 01:11:46 2023,-0.000981667
Sun May 14 01:41:46 2023,-0.000986667
Sun May 14 02:11:46 2023,-0.000981667
Sun May 14 02:41:46 2023,-0.000983333
Sun May 14 03:11:46 2023,-0.000981667
Sun May 14 03:41:46 2023,-0.000988333
Sun May 14 04:11:46 2023,-0.000981667
Sun May 14 04:41:46 2023,-0.000978333
Sun May 14 05:11:46 2023,-0.000985
Sun May 14 05:41:46 2023,-0.000981667
Sun May 14 06:11:46 2023,0.154758
Sun May 14 06:41:46 2023,6.60242
Sun May 14 07:11:46 2023,24.5854
Sun May 14 07:41:46 2023,48.5277
Sun May 14 08:11:46 2023,91.1346
Sun May 14 08:41:46 2023,116.58
Sun May 14 09:11:46 2023,188.219
Sun May 14 09:41:46 2023,203.241
