date-time,temperature_f
Sat May 13 04:36:16 2023,75.2321
Sat May 13 05:06:16 2023,75.0849
Sat May 13 05:36:16 2023,76.3929
Sat May 13 06:06:16 2023,75.3024
Sat May 13 06:36:16 2023,75.3846
Sat May 13 07:06:16 2023,74.0973
Sat May 13 07:36:16 2023,74.5555
Sat May 13 08:06:16 2023,75.8477
Sat May 13 08:36:16 2023,77.0604
Sat May 13 09:06:16 2023,79.3026
Sat May 13 09:36:16 2023,81.0675
Sat May 13 10:06:16 2023,82.2326
Sat May 13 10:36:16 2023,83.0797
Sat May 13 11:06:16 2023,84.7926
Sat May 13 11:36:16 2023,85.9531
Sat May 13 12:06:16 2023,86.1087
Sat May 13 12:36:16 2023,86.9087
Sat May 13 13:06:16 2023,87.6948
Sat May 13 13:36:16 2023,88.0949
Sat May 13 14:06:16 2023,87.4034
Sat May 13 14:36:16 2023,87.847
Sat May 13 15:06:16 2023,88.016
Sat May 13 15:36:16 2023,88.3564
Sat May 13 16:06:16 2023,87.3163
Sat May 13 16:36:16 2023,86.547
Sat May 13 17:06:16 2023,85.4133
Sat May 13 17:36:16 2023,85.0164
Sat May 13 18:06:16 2023,83.2548
Sat May 13 18:36:16 2023,83.3686
Sat May 13 19:06:16 2023,85.1567
Sat May 13 19:36:16 2023,84.3584
Sat May 13 20:06:16 2023,82.7005
Sat May 13 20:36:16 2023,81.7554
Sat May 13 21:06:16 2023,80.3949
Sat May 13 21:36:16 2023,78.5843
Sat May 13 22:06:16 2023,77.5759
Sat May 13 22:36:16 2023,77.1374
Sat May 13 23:06:16 2023,76.7326
Sat May 13 23:36:16 2023,76.2201
Sun May 14 00:06:16 2023,75.9856
Sun May 14 00:36:16 2023,75.7892
Sun May 14 01:06:16 2023,75.6043
Sun May 14 01:36:16 2023,75.2521
Sun May 14 02:06:16 2023,74.7879
Sun May 14 02:36:16 2023,74.4273
Sun May 14 03:06:16 2023,74.0585
Sun May 14 03:36:16 2023,73.8053
Sun May 14 04:06:16 2023,73.5869
Sun May 14 04:36:16 2023,73.3012
Sun May 14 05:06:16 2023,76.2475
Sun May 14 05:36:16 2023,73.7606
Sun May 14 06:06:16 2023,75.7397
