genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR54991.1_165	2.69541	1.54084	5.70125	3.13741	1.60319
lcl|KZ248545.1_cds_OWR54992.1_166	1.81666	0.880029	1.24987	1.87835	2.81524
lcl|KZ248545.1_cds_OWR54993.1_167	3.08523	1.04134	2.23255	3.05609	4.43961
lcl|KZ248545.1_cds_OWR54994.1_168	3.80838	2.33369	2.60751	5.77006	12.5812
lcl|KZ248545.1_cds_OWR54995.1_169	24.7369	16.1594	16.0349	8.70773	5.93081
lcl|KZ248545.1_cds_OWR54996.1_170	4.82307	1.80424	2.7555	2.04059	1.31283
lcl|KZ248545.1_cds_OWR54997.1_171	288.268	260.831	68.2144	324.268	819.222
lcl|KZ248545.1_cds_OWR54998.1_172	182.195	156.744	0.820623	29.7693	3.71749
lcl|KZ248545.1_cds_OWR54999.1_173	29.0341	62.4025	12.6348	3.17077	18.8638
lcl|KZ248545.1_cds_OWR55000.1_174	11.6464	14.4415	1.56767	0.66395	33.4546
lcl|KZ248545.1_cds_OWR55001.1_175	9.69619	20.8296	0.0	0.0	16.3611
lcl|KZ248545.1_cds_OWR55002.1_176	13.3832	11.9131	13.8658	11.6847	17.2693
lcl|KZ248545.1_cds_OWR55003.1_177	2.33719	0.103087	0.254461	5.9834	0.197075
lcl|KZ248545.1_cds_OWR55004.1_178	0.0	0.00710297	0.0	0.0657729	0.19989
lcl|KZ248545.1_cds_OWR55005.1_179	0.0	0.0	0.0	0.0341388	0.0
lcl|KZ248545.1_cds_OWR55006.1_180	0.091036	0.0	0.0305125	16.3067	0.791796
lcl|KZ248545.1_cds_OWR55007.1_181	17.9111	0.954118	3.03772	27.6798	6.62594
lcl|KZ248545.1_cds_OWR55008.1_182	11.6435	0.480568	2.83392	21.4817	5.19305
lcl|KZ248545.1_cds_OWR55009.1_183	0.0292156	0.030771	0.0341344	5.47264	0.326365
lcl|KZ248545.1_cds_OWR55010.1_184	7.22604	7.07227	0.304665	2.07713	6.43959
lcl|KZ248545.1_cds_OWR55011.1_185	5.64532	0.494296	5.95895	0.64224	0.566228
lcl|KZ248545.1_cds_OWR55012.1_186	42.1473	0.0169989	0.452679	0.0576291	0.138937
lcl|KZ248545.1_cds_OWR55013.1_187	24.0622	7.8092	24.2654	12.1656	8.36715
lcl|KZ248545.1_cds_OWR55014.1_188	12.0417	6.48908	7.59021	9.07117	6.98378
lcl|KZ248545.1_cds_OWR55015.1_189	6.97111	3.04395	4.95124	4.66512	2.61298
lcl|KZ248545.1_cds_OWR55016.1_190	69.7444	40.5868	27.8098	25.2278	15.2854
lcl|KZ248545.1_cds_OWR55017.1_191	9.82747	3.10718	5.93234	4.34762	1.41598
lcl|KZ248545.1_cds_OWR55018.1_192	131.453	64.3328	160.244	102.422	107.292
lcl|KZ248545.1_cds_OWR55019.1_193	1.43559	0.761807	2.96968	1.79443	1.53442
lcl|KZ248545.1_cds_OWR55020.1_194	27.0223	14.9979	11.641	0.203526	0.591309
lcl|KZ248545.1_cds_OWR55021.1_195	0.879471	0.090067	0.637347	1.53672	1.63555
lcl|KZ248545.1_cds_OWR55022.1_196	27.2183	4.34494	6.86107	4.05806	15.2483
lcl|KZ248545.1_cds_OWR55023.1_197	5.87489	2.85725	6.95609	4.06714	3.71397
lcl|KZ248545.1_cds_OWR55024.1_198	166.288	85.8303	2.99008	1.16036	3.14614
